sentence,token,tag
1,The,b
1,1874,i
1,Nova,i
1,Scotia,i
1,general,i
1,election,i
1,was,O
1,held,O
1,on,O
1,17,O
1,December,O
1,1874,O
1,to,O
1,elect,O
1,members,O
1,of,O
1,the,O
1,26th,b
1,House,i
1,of,i
1,Assembly,i
1,of,i
1,the,i
1,Province,i
1,of,i
1,Nova,i
1,Scotia,i
1,",",O
1,Canada,O
1,.,O
2,It,O
2,was,O
2,won,O
2,by,O
2,the,O
2,Liberal,O
2,party,O
2,.,O
3,The,b
3,December,i
3,1981,i
3,windstorm,i
3,was,O
3,a,O
3,severe,O
3,storm,O
3,that,O
3,particularly,O
3,affected,O
3,southern,O
3,England,O
3,",",O
3,Wales,O
3,and,O
3,south,O
3,west,O
3,France,O
3,during,O
3,13,O
3,December,O
3,1981,O
3,.,O
4,The,O
4,storm,O
4,formed,O
4,as,O
4,a,O
4,secondary,O
4,low,O
4,.,O
5,In,O
5,England,O
5,",",O
5,the,O
5,storm,O
5,started,O
5,with,O
5,violent,O
5,winds,O
5,and,O
5,snow,O
5,",",O
5,which,O
5,reached,O
5,Cornwall,O
5,during,O
5,the,O
5,morning,O
5,.,O
6,Prior,O
6,to,O
6,its,O
6,arrival,O
6,a,O
6,number,O
6,of,O
6,record,O
6,low,O
6,temperatures,O
6,were,O
6,reached,O
6,for,O
6,December,O
6,",",O
6,with,O
6,-25.1C,O
6,at,O
6,RAF,O
6,Shawbury,O
6,in,O
6,Shropshire,O
6,and,O
6,-5.9C,O
6,in,O
6,Southampton,O
6,.,O
7,In,O
7,the,O
7,evening,O
7,spring,O
7,tides,O
7,combined,O
7,with,O
7,a,O
7,1.45,O
7,m,O
7,(,O
7,4.8,O
7,ft,O
7,),O
7,storm,O
7,surge,O
7,resulted,O
7,in,O
7,the,O
7,highest,O
7,water,O
7,levels,O
7,recorded,O
7,in,O
7,the,O
7,Bristol,O
7,Channel,O
7,since,O
7,the,O
7,start,O
7,of,O
7,the,b
7,20th,i
7,century,i
7,.,O
8,Water,O
8,from,O
8,melting,O
8,snow,O
8,",",O
8,caused,O
8,by,O
8,milder,O
8,weather,O
8,accompanying,O
8,the,O
8,depression,O
8,",",O
8,added,O
8,to,O
8,the,O
8,flooding,O
8,.,O
9,The,O
9,maximum,O
9,surge,O
9,at,O
9,Hinkley,O
9,Point,O
9,was,O
9,measured,O
9,at,O
9,1.3,O
9,metres,O
9,(,O
9,4,O
9,ft,O
9,3,O
9,in,O
9,),O
9,above,O
9,the,O
9,7.4,O
9,metres,O
9,(,O
9,24,O
9,ft,O
9,),O
9,tidal,O
9,level,O
9,Ordnance,O
9,Datum,O
9,(,O
9,OD,O
9,),O
9,at,O
9,2025,O
9,hours,O
9,",",O
9,and,O
9,1.3,O
9,metres,O
9,(,O
9,4,O
9,ft,O
9,3,O
9,in,O
9,),O
9,measured,O
9,at,O
9,Avonmouth,O
9,.,O
10,The,O
10,wind,O
10,was,O
10,measured,O
10,at,O
10,40,O
10,knots,O
10,(,O
10,74,O
10,km/h,O
10,;,O
10,46,O
10,mph,O
10,),O
10,from,O
10,the,O
10,west,O
10,.,O
11,Over,O
11,topping,O
11,of,O
11,the,O
11,sea,O
11,defences,O
11,along,O
11,a,O
11,7,O
11,miles,O
11,(,O
11,11,O
11,km,O
11,),O
11,stretch,O
11,of,O
11,the,O
11,North,O
11,Somerset,O
11,coast,O
11,at,O
11,22,O
11,locations,O
11,from,O
11,Clevedon,O
11,to,O
11,Porlock,O
11,began,O
11,after,O
11,19:30,O
11,",",O
11,and,O
11,continued,O
11,until,O
11,about,O
11,21:30,O
11,when,O
11,the,O
11,wind,O
11,speed,O
11,had,O
11,reached,O
11,50,O
11,knots,O
11,(,O
11,93,O
11,km/h,O
11,;,O
11,58,O
11,mph,O
11,),O
11,from,O
11,the,O
11,west,O
11,.,O
12,Although,O
12,there,O
12,was,O
12,no,O
12,loss,O
12,of,O
12,life,O
12,",",O
12,the,O
12,resultant,O
12,flooding,O
12,covered,O
12,"12,500",O
12,acres,O
12,(,O
12,"5,100",O
12,ha,O
12,),O
12,of,O
12,land,O
12,",",O
12,affecting,O
12,1072,O
12,houses,O
12,and,O
12,commercial,O
12,properties,O
12,",",O
12,with,O
12,"£150,000",O
12,worth,O
12,of,O
12,livestock,O
12,killed,O
12,and,O
12,"£50,000",O
12,of,O
12,feed,O
12,and,O
12,grain,O
12,destroyed,O
12,.,O
13,Wessex,O
13,Water,O
13,Authority,O
13,estimated,O
13,the,O
13,total,O
13,cost,O
13,of,O
13,the,O
13,damage,O
13,caused,O
13,at,O
13,£6m,O
13,",",O
13,resulting,O
13,in,O
13,a,O
13,three-year,O
13,programme,O
13,of,O
13,sea,O
13,defence,O
13,assessment,O
13,",",O
13,repair,O
13,and,O
13,improvement,O
13,.,O
14,In,O
14,France,O
14,",",O
14,the,O
14,storm,O
14,caused,O
14,widespread,O
14,flooding,O
14,in,O
14,the,O
14,south,O
14,west,O
14,",",O
14,causing,O
14,considerable,O
14,damage,O
14,in,O
14,the,O
14,river,O
14,basins,O
14,of,O
14,the,O
14,Garonne,O
14,and,O
14,Adour,O
14,and,O
14,flooding,O
14,the,O
14,city,O
14,of,O
14,Bordeaux,O
14,.,O
15,The,O
15,MV,O
15,Bonita,O
15,",",O
15,an,O
15,8000,O
15,tonne,O
15,Ecuadorian,O
15,cargo,O
15,ship,O
15,sailing,O
15,from,O
15,Hamburg,O
15,to,O
15,Panama,O
15,was,O
15,caught,O
15,in,O
15,the,O
15,storm,O
15,in,O
15,the,O
15,English,O
15,Channel,O
15,.,O
16,29,O
16,were,O
16,rescued,O
16,from,O
16,the,O
16,ship,O
16,",",O
16,4,O
16,by,O
16,helicopter,O
16,until,O
16,the,O
16,storm,O
16,was,O
16,too,O
16,strong,O
16,for,O
16,the,O
16,helicopter,O
16,to,O
16,operate,O
16,.,O
17,The,O
17,remaining,O
17,crew,O
17,were,O
17,rescued,O
17,by,O
17,the,O
17,Guernsey,O
17,lifeboat,O
17,",",O
17,however,O
17,there,O
17,were,O
17,2,O
17,fatalities,O
17,.,O
18,Water,O
18,entered,O
18,the,O
18,cooling,O
18,water,O
18,pump,O
18,house,O
18,of,O
18,Hinkley,O
18,Point,O
18,nuclear,O
18,power,O
18,station,O
18,",",O
18,causing,O
18,a,O
18,shut-down,O
18,for,O
18,weeks,O
18,after,O
18,the,O
18,storm,O
18,.,O
19,The,b
19,Bituminous,i
19,coal,i
19,strike,i
19,of,i
19,1977-1978,i
19,was,O
19,a,O
19,110-day,O
19,national,O
19,coal,O
19,strike,O
19,in,O
19,the,O
19,United,O
19,States,O
19,led,O
19,by,O
19,the,O
19,United,O
19,Mine,O
19,Workers,O
19,of,O
19,America,O
19,.,O
20,It,O
20,began,O
20,December,O
20,6,O
20,",",O
20,1977,O
20,",",O
20,and,O
20,ended,O
20,on,O
20,March,O
20,19,O
20,",",O
20,1978,O
20,.,O
21,It,O
21,is,O
21,generally,O
21,considered,O
21,a,O
21,successful,O
21,union,O
21,strike,O
21,",",O
21,although,O
21,the,O
21,contract,O
21,was,O
21,not,O
21,beneficial,O
21,to,O
21,union,O
21,members,O
21,.,O
22,Since,O
22,the,O
22,1940s,O
22,",",O
22,the,O
22,United,O
22,Mine,O
22,Workers,O
22,of,O
22,America,O
22,(,O
22,UMWA,O
22,),O
22,had,O
22,negotiated,O
22,a,O
22,nationwide,O
22,National,b
22,Coal,i
22,Wage,i
22,Agreement,i
22,with,O
22,the,O
22,Bituminous,O
22,Coal,O
22,Operators,O
22,Association,O
22,(,O
22,BCOA,O
22,),O
22,",",O
22,a,O
22,group,O
22,of,O
22,large,O
22,coal,O
22,mine,O
22,operators,O
22,.,O
23,The,O
23,three-year,O
23,agreements,O
23,covered,O
23,national,O
23,bargaining,O
23,issues,O
23,such,O
23,as,O
23,wages,O
23,",",O
23,health,O
23,and,O
23,pension,O
23,benefits,O
23,",",O
23,workplace,O
23,health,O
23,and,O
23,safety,O
23,",",O
23,and,O
23,work,O
23,rules,O
23,.,O
24,Local,O
24,agreements,O
24,",",O
24,far,O
24,more,O
24,limited,O
24,in,O
24,scope,O
24,",",O
24,were,O
24,negotiated,O
24,by,O
24,each,O
24,individual,O
24,local,O
24,affiliate,O
24,of,O
24,UMWA,O
24,.,O
25,The,b
25,2011,i
25,Philadelphia,i
25,",",i
25,Mississippi,i
25,Tornado,i
25,was,O
25,an,O
25,extremely,O
25,powerful,O
25,and,O
25,fast-moving,O
25,multi-vortex,O
25,tornado,O
25,that,O
25,touched,O
25,down,O
25,in,O
25,eastern,O
25,Mississippi,O
25,on,O
25,the,O
25,afternoon,O
25,of,O
25,April,O
25,27,O
25,",",O
25,2011,O
25,.,O
26,Part,O
26,of,O
26,the,b
26,historic,i
26,2011,i
26,Super,i
26,Outbreak,i
26,",",O
26,the,O
26,largest,O
26,tornado,O
26,outbreak,O
26,on,O
26,record,O
26,",",O
26,this,O
26,was,O
26,the,O
26,first,O
26,of,O
26,four,O
26,EF5,O
26,tornadoes,O
26,to,O
26,touch,O
26,down,O
26,that,O
26,day,O
26,and,O
26,the,O
26,first,O
26,such,O
26,storm,O
26,in,O
26,Mississippi,O
26,since,O
26,the,b
26,1966,i
26,Candlestick,i
26,Park,i
26,tornado,i
26,.,O
27,While,O
27,on,O
27,the,O
27,ground,O
27,for,O
27,30,O
27,minutes,O
27,",",O
27,it,O
27,traveled,O
27,along,O
27,a,O
27,28.28-mile,O
27,(,O
27,45.51,O
27,km,O
27,),O
27,path,O
27,through,O
27,four,O
27,counties,O
27,",",O
27,leaving,O
27,behind,O
27,three,O
27,deaths,O
27,",",O
27,eight,O
27,injuries,O
27,",",O
27,and,O
27,$,O
27,1.1,O
27,million,O
27,in,O
27,damage,O
27,.,O
28,The,O
28,supercell,O
28,thunderstorm,O
28,that,O
28,produced,O
28,this,O
28,tornado,O
28,formed,O
28,around,O
28,1:00,O
28,p.m.,O
28,CDT,O
28,south,O
28,of,O
28,Jackson,O
28,",",O
28,Mississippi,O
28,.,O
29,Traveling,O
29,briskly,O
29,to,O
29,the,O
29,northeast,O
29,",",O
29,it,O
29,became,O
29,severe,O
29,within,O
29,25,O
29,minutes,O
29,and,O
29,potentially,O
29,tornadic,O
29,by,O
29,1:36,O
29,p.m.,O
29,CDT,O
29,.,O
30,A,O
30,tornado,O
30,finally,O
30,touched,O
30,down,O
30,at,O
30,2:30,O
30,p.m.,O
30,CDT,O
30,just,O
30,east,O
30,of,O
30,the,O
30,Philadelphia,O
30,Municipal,O
30,Airport,O
30,.,O
31,It,O
31,quickly,O
31,intensified,O
31,and,O
31,began,O
31,producing,O
31,EF5,O
31,damage,O
31,by,O
31,2:38,O
31,p.m.,O
31,CDT,O
31,;,O
31,extreme,O
31,ground,O
31,scouring,O
31,",",O
31,up,O
31,to,O
31,0.5,O
31,metres,O
31,(,O
31,1.6,O
31,ft,O
31,),O
31,deep,O
31,in,O
31,places,O
31,",",O
31,occurred,O
31,in,O
31,northeastern,O
31,Neshoba,O
31,County,O
31,.,O
32,After,O
32,crossing,O
32,into,O
32,Kemper,O
32,County,O
32,",",O
32,the,O
32,tornado,O
32,obliterated,O
32,a,O
32,mobile,O
32,home,O
32,",",O
32,killing,O
32,all,O
32,three,O
32,inside,O
32,.,O
33,It,O
33,reached,O
33,EF5,O
33,strength,O
33,a,O
33,second,O
33,time,O
33,near,O
33,the,O
33,Kemper-Winston,O
33,county,O
33,line,O
33,where,O
33,extreme,O
33,ground,O
33,scouring,O
33,again,O
33,took,O
33,place,O
33,and,O
33,pavement,O
33,was,O
33,scoured,O
33,from,O
33,roads,O
33,.,O
34,Extensive,O
34,tree,O
34,damage,O
34,took,O
34,place,O
34,elsewhere,O
34,along,O
34,the,O
34,track,O
34,and,O
34,it,O
34,ultimately,O
34,dissipated,O
34,at,O
34,3:00,O
34,p.m.,O
34,CDT,O
34,about,O
34,6,O
34,miles,O
34,(,O
34,9.7,O
34,km,O
34,),O
34,north,O
34,of,O
34,Mashulaville,O
34,.,O
35,The,b
35,1984,i
35,Cherry,i
35,Bowl,i
35,was,O
35,a,O
35,post-season,O
35,American,O
35,college,O
35,football,O
35,bowl,O
35,game,O
35,at,O
35,the,O
35,Silverdome,O
35,in,O
35,Pontiac,O
35,",",O
35,Michigan,O
35,between,O
35,the,O
35,Army,O
35,Cadets,O
35,and,O
35,the,O
35,Michigan,O
35,State,O
35,Spartans,O
35,on,O
35,December,O
35,22,O
35,",",O
35,1984,O
35,.,O
36,The,O
36,game,O
36,was,O
36,the,O
36,final,O
36,contest,O
36,of,O
36,the,b
36,1984,i
36,NCAA,i
36,Division,i
36,I-A,i
36,football,i
36,season,i
36,for,O
36,both,O
36,teams,O
36,",",O
36,and,O
36,ended,O
36,in,O
36,a,O
36,6-Oct,O
36,victory,O
36,for,O
36,Army,O
36,.,O
37,The,b
37,Alpinale,i
37,Short,i
37,Film,i
37,Festival,i
37,(,O
37,German,O
37,:,O
37,Alpinale,O
37,Kurzfilmfestival,O
37,),O
37,is,O
37,a,O
37,film,O
37,festival,O
37,in,O
37,Bludenz,O
37,",",O
37,Vorarlberg,O
37,(,O
37,Austria,O
37,),O
37,.,O
38,The,O
38,short,O
38,film,O
38,festival,O
38,draws,O
38,around,O
38,"1,000",O
38,visitors,O
38,to,O
38,Bludenz,O
38,.,O
39,Every,O
39,year,O
39,",",O
39,about,O
39,30,O
39,hand-picked,O
39,international,O
39,short,O
39,films,O
39,are,O
39,screened,O
39,.,O
40,The,O
40,best,O
40,films,O
40,are,O
40,awarded,O
40,the,O
40,Golden,O
40,Unicorn,O
40,.,O
41,From,O
41,1985,O
41,to,O
41,2002,O
41,",",O
41,the,O
41,festival,O
41,took,O
41,place,O
41,in,O
41,Bludenz,O
41,",",O
41,and,O
41,from,O
41,2003,O
41,to,O
41,2019,O
41,in,O
41,Nenzing,O
41,.,O
42,In,O
42,2020,O
42,",",O
42,the,O
42,festival,O
42,will,O
42,be,O
42,held,O
42,in,O
42,Bludenz,O
42,again,O
42,.,O
43,The,b
43,35th,i
43,Alpinale,i
43,took,O
43,place,O
43,between,O
43,11,O
43,and,O
43,15,O
43,August,O
43,2020,O
43,under,O
43,strict,O
43,regulations,O
43,to,O
43,prevent,O
43,infections,O
43,with,O
43,Covid-19,O
43,.,O
44,The,O
44,film,O
44,language,O
44,of,O
44,all,O
44,short,O
44,films,O
44,at,O
44,the,O
44,Alpinale,O
44,is,O
44,played,O
44,in,O
44,the,O
44,original,O
44,sound,O
44,.,O
45,For,O
45,foreign,O
45,language,O
45,films,O
45,",",O
45,subtitles,O
45,are,O
45,displayed,O
45,",",O
45,while,O
45,some,O
45,English,O
45,films,O
45,are,O
45,only,O
45,provided,O
45,without,O
45,subtitles,O
45,.,O
46,The,O
46,upcoming,O
46,36th,O
46,Alpinale,O
46,will,O
46,take,O
46,place,O
46,between,O
46,8,O
46,and,O
46,12,O
46,August,O
46,2023,O
46,.,O
47,The,b
47,Russian,i
47,financial,i
47,crisis,O
47,(,O
47,also,O
47,called,O
47,the,b
47,ruble,i
47,crisis,i
47,or,O
47,the,b
47,Russian,i
47,flu,i
47,),O
47,began,O
47,in,O
47,Russia,O
47,on,O
47,17,O
47,August,O
47,1998,O
47,.,O
48,It,O
48,resulted,O
48,in,O
48,the,O
48,Russian,O
48,government,O
48,and,O
48,the,O
48,Russian,O
48,Central,O
48,Bank,O
48,devaluing,O
48,the,O
48,ruble,O
48,and,O
48,defaulting,O
48,on,O
48,its,O
48,debt,O
48,.,O
49,The,O
49,crisis,O
49,had,O
49,severe,O
49,impacts,O
49,on,O
49,the,O
49,economies,O
49,of,O
49,many,O
49,neighboring,O
49,countries,O
49,.,O
50,The,b
50,Little,i
50,Nine,i
50,Partners,i
50,Patent,i
50,was,O
50,a,O
50,land,O
50,patent,O
50,granted,O
50,in,O
50,1706,O
50,in,O
50,Dutchess,O
50,County,O
50,",",O
50,New,O
50,York,O
50,",",O
50,United,O
50,States,O
50,.,O
51,It,O
51,was,O
51,the,O
51,last,O
51,of,O
51,fourteen,O
51,patents,O
51,granted,O
51,between,O
51,1685,O
51,and,O
51,1706,O
51,which,O
51,came,O
51,to,O
51,cover,O
51,the,O
51,entirety,O
51,of,O
51,historic,O
51,Dutchess,O
51,County,O
51,(,O
51,which,O
51,until,O
51,1812,O
51,included,O
51,today,O
51,'s,O
51,Putnam,O
51,County,O
51,),O
51,.,O
52,The,O
52,first,O
52,ten,O
52,",",O
52,granted,O
52,between,O
52,1685,O
52,and,O
52,1697,O
52,",",O
52,covered,O
52,almost,O
52,all,O
52,of,O
52,Hudson,O
52,River,O
52,shoreline,O
52,in,O
52,the,O
52,original,O
52,county,O
52,",",O
52,with,O
52,three,O
52,-,O
52,Rombouts,O
52,",",O
52,the,O
52,Great,O
52,Nine,O
52,Partners,O
52,",",O
52,and,O
52,Philipse,O
52,Patents,O
52,",",O
52,extending,O
52,significantly,O
52,inland,O
52,.,O
53,The,O
53,eleventh,O
53,",",O
53,and,O
53,smallest,O
53,",",O
53,Cuyler,O
53,",",O
53,1697,O
53,",",O
53,was,O
53,the,O
53,first,O
53,to,O
53,contain,O
53,solely,O
53,inland,O
53,territory,O
53,",",O
53,just,O
53,in,O
53,from,O
53,the,O
53,Hudson,O
53,.,O
54,The,O
54,twelfth,O
54,",",O
54,and,O
54,next,O
54,smallest,O
54,",",O
54,Fauconnier,O
54,",",O
54,in,O
54,1703,O
54,",",O
54,completed,O
54,the,O
54,Hudson,O
54,River,O
54,shoreline,O
54,.,O
55,The,O
55,last,O
55,two,O
55,",",O
55,Beekman,O
55,",",O
55,1705,O
55,",",O
55,and,O
55,the,O
55,Little,O
55,Nine,O
55,Partners,O
55,",",O
55,1706,O
55,",",O
55,laid,O
55,claim,O
55,to,O
55,the,O
55,remaining,O
55,interior,O
55,lands,O
55,.,O
56,The,b
56,2007,i
56,Korean,i
56,FA,i
56,Cup,i
56,",",O
56,known,O
56,as,O
56,the,b
56,2007,i
56,Hana,i
56,Bank,i
56,FA,i
56,Cup,i
56,",",O
56,was,O
56,the,O
56,twelfth,O
56,edition,O
56,of,O
56,the,b
56,Korean,i
56,FA,i
56,Cup,i
56,.,O
57,The,b
57,19th,i
57,annual,i
57,Venice,i
57,International,i
57,Film,i
57,Festival,i
57,was,O
57,held,O
57,from,O
57,24,O
57,August,O
57,to,O
57,7,O
57,September,O
57,1958,O
57,.,O
58,No,O
58,OCIC,O
58,Award,O
58,was,O
58,given,O
58,this,O
58,year,O
58,due,O
58,to,O
58,the,O
58,``,O
58,unusual,O
58,immorality,O
58,'',O
58,of,O
58,the,O
58,films,O
58,.,O
59,Kerem,b
59,Shalom,i
59,border,i
59,crossing,i
59,is,O
59,a,O
59,border,O
59,crossing,O
59,at,O
59,the,O
59,junction,O
59,of,O
59,two,O
59,border,O
59,sections,O
59,:,O
59,one,O
59,between,O
59,the,O
59,Gaza,O
59,Strip,O
59,and,O
59,Israel,O
59,",",O
59,and,O
59,one,O
59,between,O
59,the,O
59,Gaza,O
59,Strip,O
59,and,O
59,Egypt,O
59,.,O
60,It,O
60,is,O
60,used,O
60,by,O
60,trucks,O
60,carrying,O
60,goods,O
60,from,O
60,Israel,O
60,or,O
60,Egypt,O
60,to,O
60,the,O
60,Gaza,O
60,Strip,O
60,.,O
61,The,b
61,Battle,i
61,of,i
61,Pingxingguan,i
61,",",O
61,commonly,O
61,called,O
61,the,b
61,Great,i
61,Victory,i
61,of,i
61,Pingxingguan,i
61,in,O
61,Mainland,O
61,China,O
61,",",O
61,was,O
61,an,O
61,engagement,O
61,fought,O
61,on,O
61,25,O
61,September,O
61,1937,O
61,",",O
61,at,O
61,the,O
61,beginning,O
61,of,O
61,the,b
61,Second,i
61,Sino-Japanese,i
61,War,i
61,",",O
61,between,O
61,the,O
61,Eighth,O
61,Route,O
61,Army,O
61,of,O
61,the,O
61,Chinese,O
61,Communist,O
61,Party,O
61,and,O
61,the,O
61,Imperial,O
61,Japanese,O
61,Army,O
61,.,O
62,The,O
62,battle,O
62,resulted,O
62,in,O
62,the,O
62,loss,O
62,of,O
62,400,O
62,to,O
62,600,O
62,soldiers,O
62,on,O
62,both,O
62,sides,O
62,",",O
62,but,O
62,the,O
62,Chinese,O
62,captured,O
62,100,O
62,trucks,O
62,full,O
62,of,O
62,supplies,O
62,.,O
63,The,O
63,victory,O
63,gave,O
63,the,O
63,Chinese,O
63,Communists,O
63,a,O
63,tremendous,O
63,boost,O
63,since,O
63,it,O
63,was,O
63,the,O
63,only,O
63,division-size,O
63,battle,O
63,that,O
63,they,O
63,fought,O
63,during,O
63,the,O
63,entire,O
63,war,O
63,.,O
64,The,b
64,Massachusetts,i
64,Tests,i
64,for,i
64,Educator,i
64,Licensure,i
64,(,O
64,MTEL,O
64,),O
64,program,O
64,was,O
64,initiated,O
64,by,O
64,the,O
64,Massachusetts,O
64,Department,O
64,of,O
64,Education,O
64,in,O
64,1998,O
64,.,O
65,It,O
65,is,O
65,part,O
65,of,O
65,a,O
65,statewide,O
65,education,O
65,reform,O
65,initiative,O
65,for,O
65,educators,O
65,seeking,O
65,pre-kindergarten,O
65,to,O
65,Grade,O
65,12,O
65,licenses,O
65,.,O
66,The,b
66,MTEL,i
66,program,i
66,includes,O
66,a,O
66,test,O
66,of,O
66,communication,O
66,and,O
66,literacy,O
66,skills,O
66,as,O
66,well,O
66,as,O
66,tests,O
66,of,O
66,subject,O
66,matter,O
66,knowledge,O
66,.,O
67,The,O
67,tests,O
67,are,O
67,designed,O
67,to,O
67,ensure,O
67,that,O
67,Massachusetts,O
67,educators,O
67,can,O
67,communicate,O
67,adequately,O
67,with,O
67,students,O
67,",",O
67,parents/guardians,O
67,",",O
67,and,O
67,other,O
67,educators,O
67,and,O
67,that,O
67,they,O
67,are,O
67,knowledgeable,O
67,in,O
67,the,O
67,subject,O
67,matter,O
67,of,O
67,the,O
67,license,O
67,sought,O
67,.,O
68,The,b
68,MTEL,i
68,program,i
68,was,O
68,expanded,O
68,in,O
68,November,O
68,2004,O
68,to,O
68,include,O
68,tests,O
68,for,O
68,candidates,O
68,seeking,O
68,vocational,O
68,technical,O
68,and,O
68,adult,O
68,basic,O
68,education,O
68,licenses,O
68,.,O
69,The,b
69,MTEL,i
69,is,O
69,developed,O
69,",",O
69,administered,O
69,",",O
69,and,O
69,scored,O
69,by,O
69,National,O
69,Evaluation,O
69,Systems,O
69,",",O
69,Inc.,O
69,(,O
69,NES,O
69,),O
69,",",O
69,which,O
69,is,O
69,now,O
69,known,O
69,as,O
69,the,b
69,Evaluation,i
69,Systems,i
69,group,i
69,of,i
69,Pearson,i
69,Education,i
69,.,O
70,Tests,O
70,are,O
70,scored,O
70,on,O
70,a,O
70,criterion-based,O
70,system,O
70,",",O
70,where,O
70,examinees,O
70,must,O
70,attain,O
70,a,O
70,certain,O
70,score,O
70,based,O
70,on,O
70,standards,O
70,established,O
70,by,O
70,the,O
70,state,O
70,.,O
71,Constructed,O
71,(,O
71,written,O
71,&,O
71,oral,O
71,),O
71,components,O
71,of,O
71,the,O
71,tests,O
71,are,O
71,scored,O
71,using,O
71,a,O
71,focused,O
71,holistic,O
71,scoring,O
71,model,O
71,(,O
71,similar,O
71,to,O
71,holistic,O
71,grading,O
71,),O
71,.,O
72,Like,O
72,regular,O
72,holistic,O
72,scoring,O
72,",",O
72,responses,O
72,are,O
72,viewed,O
72,for,O
72,their,O
